file,channels,samples,real_odd,null_mean,null_std,excess,z,p_upper,p_lower,p_two_sided
1.edf,64,9760,2.0,0.25,0.45552167895721496,1.75,3.8417490996307286,0.019801980198019802,1.0,0.039603960396039604
2.edf,64,19680,1.0,3.31,1.671496335622666,-2.31,-1.381995252258867,0.9702970297029703,0.1485148514851485,0.297029702970297
3.edf,64,19680,2.0,3.64,1.7408044117591155,-1.6400000000000001,-0.9420932006610709,0.9207920792079208,0.27722772277227725,0.5544554455445545
